,Mu33,Mu22,Pu,L,Cb,Delta,L1tb,h,b,tf,tw
976,-1042031.75,147.384,-10109.515,6,2.267,0,1,106.1974,41.5544,6.7056,3.7084
977,-22154.53,0.102,-1529.737,6,2.434,0,1,31.3436,16.5608,1.1176,0.6604
978,-24980.799,0.121,-1997.107,6,2.361,0,1,35.5092,17.1323,1.1557,0.7239
979,-30573.998,0.245,-3190.895,6,2.333,0,1,35.814,17.1958,1.3081,0.7874
980,-34556.737,0.232,-3660.562,6,2.287,0,1,40.6654,17.7673,1.2827,0.7747
981,-39662.845,0.315,-4824.855,6,2.274,0,1,40.9702,17.8689,1.4351,0.8763
982,-47072.664,0.343,-6062.668,6,2.243,0,1,45.6946,19.0373,1.4478,0.9017
983,-53525.338,0.437,-7582.675,6,2.242,0,1,45.9994,19.1262,1.6002,0.9906
984,-59837.607,0.533,-9134.398,6,2.246,0,1,46.3296,19.1897,1.7653,1.0541
985,-67996.832,0.443,-10275.187,6,2.244,0,1,53.3146,20.9296,1.5621,1.016
986,-77025.788,0.549,-12621.617,6,2.291,0,1,53.6702,21.0058,1.7399,1.0922
987,-87246.776,0.428,-14168.022,6,2.37,0,1,60.2742,22.7711,1.4859,1.0541
988,-92627.868,0.509,-16246.929,6,2.424,0,1,60.7568,22.8346,1.7272,1.1176
989,-105637.227,0.613,-20260.545,6,2.604,0,1,61.214,22.9108,1.9558,1.1938
990,-121394.658,0.259,-23347.734,6,2.505,0,1,67.8434,25.2984,1.6256,1.1684
991,-129723.476,0.008,-25447.804,6,2.476,0,1,75.0062,26.416,1.5494,1.1938
992,-144246.872,0.202,-30382.909,6,2.438,0,1,75.311,26.543,1.7018,1.3208
993,-159451.294,0.452,-35603.477,6,2.407,0,1,75.7682,26.6065,1.9304,1.3843
994,-175499.455,0.825,-41258.896,6,2.38,0,1,76.2254,26.6573,2.159,1.4351
995,-193845.704,0.599,-45455.336,6,2.354,0,1,83.4644,29.1592,1.8796,1.397
996,-209536.745,1.469,-52363.096,6,2.336,0,1,84.0486,29.2354,2.1717,1.4732
997,-15496.893,-0.075,-402.84,6,2.052,0,1,31.0388,16.4846,0.9652,0.5842
998,-31988.533,2.974,-1636.157,5,2.506,0,1,40.2844,17.7419,1.0922,0.7493
999,-32583.55,2.956,-1920.012,5,2.502,0,1,40.2844,17.7419,1.0922,0.7493
1000,-35985.047,2.285,-2546.311,5,2.45,0,1,45.466,15.2781,1.3335,0.8001
1001,-36929.567,2.266,-2941.695,5,2.447,0,1,45.466,15.2781,1.3335,0.8001
1002,-45716.127,2.383,-4989.163,5,2.401,0,1,52.4764,16.51,1.143,0.889
1003,-41688.548,3.733,-5764.002,5,2.429,0,1,40.9702,17.8689,1.4351,0.8763
1004,-52454.483,2.87,-6943.921,5,2.38,0,1,52.9082,16.5862,1.3589,0.9652
1005,-53569.53,2.893,-7346.333,5,2.377,0,1,52.9082,16.5862,1.3589,0.9652
1006,-65655.737,3.351,-9689.367,5,2.399,0,1,59.8678,17.7927,1.2827,1.0033
1007,-56302.468,4.983,-10423.644,5,2.391,0,1,45.9994,19.1262,1.6002,0.9906
1008,-60010.262,5.473,-11799.644,5,2.395,0,1,46.3296,19.1897,1.7653,1.0541
1009,-65850.471,5.766,-14430.539,5,2.41,0,1,46.609,19.2786,1.905,1.143
1010,-63926.406,12.025,-15925.71,5,2.41,0,1,41.4782,25.9969,1.6891,1.0033
1011,-53957.5,18.059,-18611.115,5,2.417,0,1,31.115,30.5816,1.7018,1.0922
1012,-74965.105,12.789,-21439.365,5,2.437,0,1,41.9608,26.1493,1.9304,1.1557
1013,-59230.606,18.584,-22556.85,5,2.419,0,1,31.4452,30.6832,1.8669,1.1938
1014,-93024.851,15.434,-25963.815,5,2.494,0,1,46.7106,28.1686,1.9558,1.2192
1015,-65466.594,18.971,-27091.132,5,2.426,0,1,31.8262,30.7975,2.0574,1.3081
1016,-71169.068,19.818,-30728.581,5,2.433,0,1,32.2834,30.8864,2.286,1.397
1017,-86139.189,27.33,-34615.557,5,2.466,0,1,35.9664,36.9951,1.9812,1.2319
1018,-65022.243,13.163,-35256.532,5,2.432,0,1,28.194,26.2636,2.8448,1.7272
1019,-81614.001,18.278,-38535.102,5,2.454,0,1,32.7406,31.0388,2.5146,1.5494
1020,-72363.998,12.814,-41122.371,5,2.439,0,1,28.8544,26.4541,3.175,1.9177
1021,-113508.918,24.327,-49873.438,5,2.544,0,1,37.2364,37.4015,2.6162,1.6383
1022,-105460.787,13.251,-53627.413,5,2.511,0,1,34.0614,31.496,3.175,2.0066
1023,-118150.638,9.394,-60459.462,5,2.546,0,1,34.8234,31.6992,3.556,2.2098
1024,-134411.777,1.333,-68820.907,5,2.593,0,1,35.6362,31.9278,3.9624,2.4384
1025,-152705.689,-10.896,-77725.06,5,2.634,0,1,36.5252,32.1818,4.4069,2.6924
1026,-171011.355,-25.194,-85982.422,5,2.578,0,1,37.3634,32.4866,4.826,2.9972
1027,-191498.308,-43.513,-94087.884,5,2.528,0,1,38.227,32.7533,5.2578,3.2639
1028,-211547.912,-62.762,-98899.223,5,2.488,0,1,39.1414,33.0327,5.715,3.5433
1029,-236351.485,-86.952,-104381.54,5,2.449,0,1,40.259,33.3756,6.2738,3.8862
1030,-267379.968,-121.174,-108938.492,5,2.409,0,1,41.4528,33.6169,6.8707,4.1275
1031,-298850.663,-155.313,-114369.991,5,2.377,0,1,42.7228,33.9979,7.5057,4.5085
1032,-366604.192,-276.397,-120426.152,5,2.325,0,1,45.5168,41.8465,6.7564,4.2037
1033,-402161.069,-331.078,-124099.035,5,2.305,0,1,46.4566,42.1386,7.2263,4.4958
1034,-438003.931,-384.856,-127616.376,5,2.288,0,1,47.4218,42.4053,7.7089,4.7625
1035,-473138.217,-445.807,-134454.636,5,2.275,0,1,48.3108,42.7609,8.1534,5.1181
1036,-524316.415,-524.538,-142582.484,5,2.257,0,1,49.784,43.2054,8.89,5.5626
1037,-590811.441,-642.649,-152850.218,5,2.24,0,1,51.4096,43.688,9.7028,6.0452
1038,-1369814.67,-175.262,-173424.624,5,1.862,0,1,109.1946,42.3926,8.2042,4.5466
